real_price,predicted_price,mape_error,mse_error
0.1528,0.1527941,1.4946395085771003e-09,3.4893906015338954e-11
0.1993,0.1992895,2.7755608164029044e-09,1.1023502019280733e-10
0.2314,0.11049408,1.1973390689638874,0.014618242166751397
0.1968,0.19679755,1.550209641138106e-10,6.003849639468714e-12
0.2162,0.21619236,1.2473040701162724e-09,5.82979177489098e-11
0.1998,0.19980709,1.2600352511002026e-09,5.0304228857877383e-11
0.1723,0.1723238,1.9064008691603074e-08,5.661150736178066e-10
0.1951,0.1951033,2.8653797352731757e-10,1.0907153546810703e-11
0.1399,0.13989669,5.595246289397489e-10,1.0950503574326937e-11
0.1844,0.18440142,5.952809103402202e-11,2.0241863444188125e-12
0.1844,0.18441054,3.2680982596055316e-09,1.1113902830612137e-10
0.1801,0.18008183,1.0181162698835511e-08,3.3016966235757336e-10
0.1925,0.19256908,1.2867495526935711e-07,4.771633990684973e-09
0.1642,0.16422491,2.3003353156892668e-08,6.203963015695391e-10
0.1341,0.13410977,5.302120495291066e-09,9.536091249407478e-11
0.136,0.13600542,1.5860873016614971e-09,2.933860754684122e-11
0.1191,0.119106844,3.3018332963327206e-09,4.684126095131623e-11
0.1196,0.11960498,1.7353411397146128e-09,2.4824665537315368e-11
0.0948,0.0948002,4.30026982763193e-12,3.864685723624152e-14
0.0852,0.0851953,3.039601231095955e-09,2.2062154166614072e-11
0.097,0.09700838,7.457462323621982e-09,7.01793833854452e-11
0.1399,0.13990553,1.5607953755341047e-09,3.0550316547002295e-11
0.1313,0.13127364,4.031473676389509e-08,6.947345512622883e-10
0.1442,0.1442101,4.905308772211621e-09,1.0201351382430804e-10
0.1955,0.19548531,5.647916684728878e-09,2.1583234571685767e-10
0.152,0.15200764,2.5257397169425167e-09,5.83605562952138e-11
0.1614,0.1614428,7.028743472037299e-08,1.8319561024570812e-09
0.1221,0.12210452,1.3691505138418854e-09,2.0413367856376013e-11
0.1091,0.10910891,6.668551649898169e-09,7.93874684864708e-11
0.1184,0.118405916,2.496201774561105e-09,3.499665126704538e-11
0.1121,0.112107396,4.352512700785488e-09,5.470267675256354e-11
0.1474,0.14740957,4.217573382027155e-09,9.164610778548808e-11
0.1474,0.147401,4.648971499660612e-11,1.0100846543471883e-12
0.139,0.13900246,3.125054894730194e-10,6.038132042301921e-12
0.1119,0.111901544,1.9038899058211435e-10,2.3840424786686157e-12
0.1294,0.12946719,2.693276541736869e-07,4.514403644508896e-09
0.1243,0.122571334,0.00019890432712770933,2.988285300044124e-06
0.1205,0.12048861,8.941913869327492e-09,1.2981427278537568e-10
0.1929,0.1929138,5.117544917883294e-09,1.9045319252005342e-10
0.1876,0.18759619,4.131298929936185e-10,1.4539003268994432e-11
0.2079,0.20790273,1.7236512494497452e-10,7.450231723843175e-12
0.2026,0.20260054,7.070695442823477e-12,2.9023068236462154e-13
0.2481,0.18156779,0.13427226587399096,0.004426535217101713
0.2826,0.0962482,3.7487106830701737,0.034726992608183384
0.2301,0.23008162,6.3830700156085805e-09,3.379040936215085e-10
0.2533,0.2532988,2.284723060747696e-11,1.4658846362789714e-12
0.2362,0.23621665,4.967945793040228e-09,2.772029568685598e-10
0.2067,0.20668769,3.5478856510284797e-09,1.5156496796395053e-10
0.2374,0.23740314,1.748800684361282e-10,9.856284487455571e-12
0.1722,0.1721949,8.77846274843998e-10,2.6029092705275453e-11
0.2191,0.21912506,1.3081430021317526e-08,6.281152346883525e-10
0.2191,0.21905844,3.599557923408633e-08,1.7273054537096311e-09
0.2153,0.21529916,1.524787787929191e-11,7.067959836459272e-13
0.2269,0.22689639,2.5309438169021234e-10,1.3029797856279645e-11
0.199,0.19899502,6.25291137983046e-10,2.476091600566339e-11
0.169,0.16896103,5.3188263677253386e-08,1.5184095492637383e-09
0.1721,0.17210245,2.028745110422699e-10,6.008991622351424e-12
0.1515,0.1514985,9.848531487023532e-11,2.2604147034017402e-12
0.1532,0.15320158,1.0636870119473815e-10,2.49655044171061e-12
0.1259,0.12590018,2.024742859365326e-12,3.2093905697648885e-14
0.1184,0.11840609,2.6429040162661147e-09,3.705351821047757e-11
0.133,0.13304013,9.09862975516233e-08,1.6104280077792037e-09
0.186,0.1860068,1.3362136660202917e-09,4.6231027809558256e-11
0.1747,0.17469859,6.502793541047373e-11,1.984626433097199e-12
0.1879,0.18790206,1.2055650585025124e-10,4.256510894672846e-12
0.24,0.24000272,1.2858777731793878e-10,7.406823954218594e-12
0.1929,0.19289716,2.1739217142849642e-10,8.08901329542172e-12
0.2037,0.20412613,4.358090049505542e-06,1.815906247112143e-07
0.1608,0.16084525,7.914411017520379e-08,2.047552660954034e-09
0.1501,0.15010612,1.6607281323307136e-09,3.741927118924147e-11
0.1612,0.16117805,1.8542199989208862e-08,4.816960315024336e-10
0.1549,0.1549214,1.9076819440994715e-08,4.578558647610034e-10
0.1914,0.19144644,5.883835293370487e-08,2.1565279424539514e-09
0.1914,0.19138746,4.293320872568486e-09,1.5726073590964121e-10
0.1849,0.18493435,3.449565607161353e-08,1.1797760337884354e-09
0.1539,0.15397757,2.5380800552646394e-07,6.0175575974503424e-09
0.1738,0.1737994,1.2095062578872033e-11,3.653462408813904e-13
0.1688,0.16880013,5.975655208473263e-13,1.7026723638441038e-14
0.1658,0.16580245,2.1816818481125702e-10,5.9975420322045604e-12
0.2355,0.23899457,0.00021380166092378722,1.2212009604700743e-05
0.2343,0.23430048,4.184615718766363e-12,2.297216548106863e-13
0.249,0.24900827,1.1025182491591842e-09,6.836177368542498e-11
0.2508,0.25080752,8.998807982282323e-10,5.660647424485512e-11
0.2873,0.17169298,0.4533809903947581,0.013364982537784724
0.3304,0.082713194,8.967185621405337,0.06134875377163948
0.0477,0.047566418,7.88674074089254e-06,1.7844256338138255e-08
0.0389,0.038921233,2.976188533480143e-07,4.508516101681611e-10
0.0423,0.04232404,3.2262481350942293e-07,5.779256905232664e-10
0.0454,0.045396496,5.959091987290451e-09,1.2280745939163854e-11
