contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice,,dayToExpire
0,29,2.798,2.655,0.024654,0.014,,0.11372549
0,28,2.798,2.601,0.024654,0.0105,,0.109803922
0,27,2.798,2.651,0.024654,0.0135,,0.105882353
0,26,2.798,2.643,0.024654,0.0117,,0.101960784
0,26,2.798,2.686,0.024654,0.0146,,0.101960784
0,22,2.798,2.696,0.024654,0.0153,,0.08627451
0,21,2.798,2.686,0.024654,0.0133,,0.082352941
0,20,2.798,2.694,0.024654,0.0117,,0.078431373
0,19,2.798,2.652,0.024654,0.0066,,0.074509804
0,17,2.798,2.652,0.024654,0.0067,,0.066666667
0,16,2.798,2.663,0.024654,0.0068,,0.062745098
0,15,2.798,2.688,0.024654,0.0082,,0.058823529
0,14,2.798,2.672,0.024654,0.0058,,0.054901961
0,13,2.798,2.675,0.024654,0.0063,,0.050980392
0,12,2.798,2.678,0.024654,0.0059,,0.047058824
0,8,2.798,2.612,0.024654,0.0025,,0.031372549
0,7,2.798,2.61,0.024654,0.0019,,0.02745098
0,6,2.798,2.592,0.024654,6.00E-04,,0.023529412
0,5,2.798,2.598,0.024654,4.00E-04,,0.019607843
0,2,2.798,2.548,0.024654,2.00E-04,,0.007843137
0,1,2.798,2.52,0.024654,2.00E-04,,0.003921569
0,72,2.847,2.655,0.024654,0.0587,,0.282352941
0,71,2.847,2.626,0.024654,0.0484,,0.278431373
0,70,2.847,2.643,0.024654,0.0521,,0.274509804
0,69,2.847,2.676,0.024654,0.0554,,0.270588235
0,68,2.847,2.637,0.024654,0.0417,,0.266666667
0,64,2.847,2.722,0.024654,0.0628,,0.250980392
0,60,2.847,2.642,0.024654,0.0419,,0.235294118
0,59,2.847,2.642,0.024654,0.0419,,0.231372549
0,55,2.847,2.654,0.024654,0.0436,,0.215686275
0,54,2.847,2.634,0.024654,0.0402,,0.211764706
0,51,2.847,2.674,0.024654,0.0452,,0.2
0,50,2.847,2.714,0.024654,0.0501,,0.196078431
0,49,2.847,2.711,0.024654,0.0458,,0.192156863
0,48,2.847,2.723,0.024654,0.0448,,0.188235294
0,47,2.847,2.716,0.024654,0.0403,,0.184313725
0,45,2.847,2.745,0.024654,0.0391,,0.176470588
0,37,2.847,2.736,0.024654,0.0246,,0.145098039
0,36,2.847,2.717,0.024654,0.0189,,0.141176471
0,34,2.847,2.655,0.024654,0.0089,,0.133333333
0,30,2.847,2.667,0.024654,0.009,,0.117647059
0,29,2.847,2.655,0.024654,0.0081,,0.11372549
0,28,2.847,2.601,0.024654,0.0063,,0.109803922
0,27,2.847,2.651,0.024654,0.0078,,0.105882353
0,26,2.847,2.643,0.024654,0.0062,,0.101960784
0,26,2.847,2.686,0.024654,0.0072,,0.101960784
0,22,2.847,2.696,0.024654,0.0079,,0.08627451
0,21,2.847,2.686,0.024654,0.0067,,0.082352941
0,20,2.847,2.694,0.024654,0.005,,0.078431373
0,19,2.847,2.652,0.024654,0.0028,,0.074509804
0,17,2.847,2.652,0.024654,0.0028,,0.066666667
0,16,2.847,2.663,0.024654,0.003,,0.062745098
0,15,2.847,2.688,0.024654,0.0033,,0.058823529
0,14,2.847,2.672,0.024654,0.0023,,0.054901961
0,13,2.847,2.675,0.024654,0.0025,,0.050980392
0,12,2.847,2.678,0.024654,0.0022,,0.047058824
0,8,2.847,2.612,0.024654,0.0015,,0.031372549
0,7,2.847,2.61,0.024654,6.00E-04,,0.02745098
0,6,2.847,2.592,0.024654,4.00E-04,,0.023529412
0,5,2.847,2.598,0.024654,3.00E-04,,0.019607843
0,2,2.847,2.548,0.024654,2.00E-04,,0.007843137
0,1,2.847,2.52,0.024654,2.00E-04,,0.003921569
1,72,2.651,2.655,0.024654,0.1081,,0.282352941
1,71,2.651,2.626,0.024654,0.1223,,0.278431373
1,70,2.651,2.643,0.024654,0.1104,,0.274509804
1,69,2.651,2.676,0.024654,0.0899,,0.270588235
1,68,2.651,2.637,0.024654,0.1073,,0.266666667
1,64,2.651,2.722,0.024654,0.0675,,0.250980392
1,60,2.651,2.642,0.024654,0.0941,,0.235294118
